position,id,label_4way,label_2way
245,sappelli:260470,accountable non-answer,no_reply
246,sappelli:260573,accountable non-answer,no_reply
247,sappelli:260600,accountable non-answer,no_reply
248,sappelli:260641,accountable non-answer,no_reply
249,sappelli:260699,accountable non-answer,no_reply
250,sappelli:260712,accountable non-answer,no_reply
251,sappelli:260845,accountable non-answer,no_reply
252,sappelli:287084,accountable non-answer,no_reply
253,sappelli:28961,accountable non-answer,no_reply
254,sappelli:28981,accountable non-answer,no_reply
255,sappelli:29258,accountable non-answer,no_reply
256,sappelli:29534,accountable non-answer,no_reply
257,sappelli:30092,accountable non-answer,no_reply
258,sappelli:30107,accountable non-answer,no_reply
259,sappelli:30188,accountable non-answer,no_reply
260,sappelli:30338,accountable non-answer,no_reply
261,sappelli:304907,accountable non-answer,no_reply
262,sappelli:304967,accountable non-answer,no_reply
263,sappelli:305173,ignore,no_reply
264,sappelli:305329,postponed reply,needs_reply
265,sappelli:305379,accountable non-answer,no_reply
266,sappelli:305391,immediate reply,needs_reply
267,sappelli:305432,ignore,no_reply
268,sappelli:305543,immediate reply,needs_reply
269,sappelli:306117,immediate reply,needs_reply
270,sappelli:306123,accountable non-answer,no_reply
271,sappelli:306164,accountable non-answer,no_reply
272,sappelli:306393,accountable non-answer,no_reply
273,sappelli:306399,accountable non-answer,no_reply
274,sappelli:306406,accountable non-answer,no_reply
275,sappelli:30653,postponed reply,needs_reply
276,sappelli:306546,accountable non-answer,no_reply
277,sappelli:306559,ignore,no_reply
278,sappelli:306610,accountable non-answer,no_reply
279,sappelli:306733,postponed reply,needs_reply
280,sappelli:306986,accountable non-answer,no_reply
281,sappelli:307069,accountable non-answer,no_reply
282,sappelli:30709,postponed reply,needs_reply
283,sappelli:307132,postponed reply,needs_reply
284,sappelli:307239,postponed reply,needs_reply
285,sappelli:307287,immediate reply,needs_reply
286,sappelli:30770,immediate reply,needs_reply
287,sappelli:30775,accountable non-answer,no_reply
288,sappelli:30817,accountable non-answer,no_reply
289,sappelli:30856,accountable non-answer,no_reply
290,sappelli:30928,ignore,no_reply
291,sappelli:30929,ignore,no_reply
292,sappelli:31055,accountable non-answer,no_reply
293,sappelli:320867,accountable non-answer,no_reply
294,sappelli:320885,ignore,no_reply
295,sappelli:320936,accountable non-answer,no_reply
296,sappelli:321016,accountable non-answer,no_reply
297,sappelli:321064,accountable non-answer,no_reply
298,sappelli:321076,accountable non-answer,no_reply
299,sappelli:321085,accountable non-answer,no_reply
300,sappelli:321096,accountable non-answer,no_reply
301,sappelli:321106,accountable non-answer,no_reply
302,sappelli:321121,accountable non-answer,no_reply
303,sappelli:321122,accountable non-answer,no_reply
304,sappelli:321146,accountable non-answer,no_reply
305,sappelli:321161,accountable non-answer,no_reply
306,sappelli:321218,accountable non-answer,no_reply
307,sappelli:321246,accountable non-answer,no_reply
308,sappelli:321270,accountable non-answer,no_reply
309,sappelli:321477,accountable non-answer,no_reply
310,sappelli:321684,immediate reply,needs_reply
311,sappelli:321729,accountable non-answer,no_reply
312,sappelli:321772,accountable non-answer,no_reply
313,sappelli:321773,accountable non-answer,no_reply
314,sappelli:321865,accountable non-answer,no_reply
315,sappelli:324010,accountable non-answer,no_reply
316,sappelli:325393,accountable non-answer,no_reply
317,sappelli:326238,accountable non-answer,no_reply
318,sappelli:32764,accountable non-answer,no_reply
319,sappelli:32776,immediate reply,needs_reply
320,sappelli:32815,accountable non-answer,no_reply
321,sappelli:32825,immediate reply,needs_reply
322,sappelli:32836,accountable non-answer,no_reply
323,sappelli:32849,accountable non-answer,no_reply
324,sappelli:32897,immediate reply,needs_reply
325,sappelli:32966,accountable non-answer,no_reply
326,sappelli:33072,accountable non-answer,no_reply
327,sappelli:33182,immediate reply,needs_reply
328,sappelli:33233,accountable non-answer,no_reply
329,sappelli:33370,immediate reply,needs_reply
330,sappelli:33399,postponed reply,needs_reply
331,sappelli:33540,accountable non-answer,no_reply
332,sappelli:33542,accountable non-answer,no_reply
333,sappelli:33572,accountable non-answer,no_reply
334,sappelli:33713,immediate reply,needs_reply
335,sappelli:337436,accountable non-answer,no_reply
336,sappelli:337507,ignore,no_reply
337,sappelli:337522,accountable non-answer,no_reply
338,sappelli:337530,postponed reply,needs_reply
339,sappelli:337618,immediate reply,needs_reply
340,sappelli:337654,accountable non-answer,no_reply
341,sappelli:337748,accountable non-answer,no_reply
342,sappelli:33777,accountable non-answer,no_reply
343,sappelli:337850,postponed reply,needs_reply
344,sappelli:337852,immediate reply,needs_reply
345,sappelli:337998,accountable non-answer,no_reply
346,sappelli:338077,accountable non-answer,no_reply
347,sappelli:338223,immediate reply,needs_reply
348,sappelli:338254,accountable non-answer,no_reply
349,sappelli:338265,accountable non-answer,no_reply
350,sappelli:338300,accountable non-answer,no_reply
351,sappelli:338314,immediate reply,needs_reply
352,sappelli:338340,immediate reply,needs_reply
353,sappelli:338361,immediate reply,needs_reply
354,sappelli:33838,accountable non-answer,no_reply
355,sappelli:338431,accountable non-answer,no_reply
356,sappelli:338534,accountable non-answer,no_reply
357,sappelli:33857,immediate reply,needs_reply
358,sappelli:338659,postponed reply,needs_reply
359,sappelli:338752,accountable non-answer,no_reply
360,sappelli:338762,immediate reply,needs_reply
361,sappelli:379926,accountable non-answer,no_reply
362,sappelli:379936,accountable non-answer,no_reply
363,sappelli:383615,postponed reply,needs_reply
364,sappelli:383662,accountable non-answer,no_reply
365,sappelli:383695,immediate reply,needs_reply
366,sappelli:383705,immediate reply,needs_reply
367,sappelli:383712,accountable non-answer,no_reply
368,sappelli:383717,accountable non-answer,no_reply
369,sappelli:383746,accountable non-answer,no_reply
370,sappelli:383899,postponed reply,needs_reply
371,sappelli:383916,immediate reply,needs_reply
372,sappelli:384047,accountable non-answer,no_reply
373,sappelli:384151,accountable non-answer,no_reply
374,sappelli:384174,accountable non-answer,no_reply
375,sappelli:384224,immediate reply,needs_reply
376,sappelli:384239,postponed reply,needs_reply
377,sappelli:384361,immediate reply,needs_reply
378,sappelli:384365,immediate reply,needs_reply
379,sappelli:384366,accountable non-answer,no_reply
380,sappelli:384376,accountable non-answer,no_reply
381,sappelli:384387,postponed reply,needs_reply
382,sappelli:384393,ignore,no_reply
383,sappelli:384407,immediate reply,needs_reply
384,sappelli:384529,accountable non-answer,no_reply
385,sappelli:384542,accountable non-answer,no_reply
386,sappelli:384548,accountable non-answer,no_reply
387,sappelli:384898,ignore,no_reply
388,sappelli:385146,ignore,no_reply
389,sappelli:385179,ignore,no_reply
390,sappelli:392355,accountable non-answer,no_reply
391,sappelli:394583,accountable non-answer,no_reply
392,sappelli:394978,postponed reply,needs_reply
393,sappelli:395138,accountable non-answer,no_reply
394,sappelli:40953,accountable non-answer,no_reply
395,sappelli:41251,immediate reply,needs_reply
396,sappelli:41262,accountable non-answer,no_reply
397,sappelli:41311,accountable non-answer,no_reply
398,sappelli:41348,immediate reply,needs_reply
399,sappelli:41367,accountable non-answer,no_reply
400,sappelli:41448,accountable non-answer,no_reply
401,sappelli:41475,accountable non-answer,no_reply
402,sappelli:41492,immediate reply,needs_reply
403,sappelli:41531,accountable non-answer,no_reply
404,sappelli:41554,ignore,no_reply
405,sappelli:41601,ignore,no_reply
406,sappelli:41634,immediate reply,needs_reply
407,sappelli:41650,postponed reply,needs_reply
408,sappelli:41669,immediate reply,needs_reply
409,sappelli:41672,postponed reply,needs_reply
410,sappelli:41674,accountable non-answer,no_reply
411,sappelli:41708,immediate reply,needs_reply
412,sappelli:41832,accountable non-answer,no_reply
413,sappelli:41837,immediate reply,needs_reply
414,sappelli:41849,immediate reply,needs_reply
415,sappelli:41854,accountable non-answer,no_reply
416,sappelli:41863,accountable non-answer,no_reply
417,sappelli:48901,accountable non-answer,no_reply
418,sappelli:49346,immediate reply,needs_reply
419,sappelli:49367,immediate reply,needs_reply
420,sappelli:49389,immediate reply,needs_reply
421,sappelli:49419,accountable non-answer,no_reply
422,sappelli:49456,accountable non-answer,no_reply
423,sappelli:49480,accountable non-answer,no_reply
424,sappelli:49485,accountable non-answer,no_reply
425,sappelli:49600,accountable non-answer,no_reply
426,sappelli:49600,accountable non-answer,no_reply
427,sappelli:49624,accountable non-answer,no_reply
428,sappelli:49637,accountable non-answer,no_reply
429,sappelli:49648,immediate reply,needs_reply
430,sappelli:49667,accountable non-answer,no_reply
431,sappelli:49710,accountable non-answer,no_reply
432,sappelli:49712,accountable non-answer,no_reply
433,sappelli:49790,postponed reply,needs_reply
434,sappelli:49822,accountable non-answer,no_reply
435,sappelli:49854,postponed reply,needs_reply
436,sappelli:49982,accountable non-answer,no_reply
437,sappelli:49995,accountable non-answer,no_reply
438,sappelli:50072,immediate reply,needs_reply
439,sappelli:50094,immediate reply,needs_reply
440,sappelli:50115,accountable non-answer,no_reply
441,sappelli:50118,accountable non-answer,no_reply
442,sappelli:50142,accountable non-answer,no_reply
443,sappelli:50232,accountable non-answer,no_reply
444,sappelli:68637,accountable non-answer,no_reply
445,sappelli:69542,accountable non-answer,no_reply
446,sappelli:69661,ignore,no_reply
447,sappelli:69688,immediate reply,needs_reply
448,sappelli:69690,postponed reply,needs_reply
449,sappelli:69696,postponed reply,needs_reply
450,sappelli:69701,accountable non-answer,no_reply
451,sappelli:69802,immediate reply,needs_reply
452,sappelli:69872,immediate reply,needs_reply
453,sappelli:70113,accountable non-answer,no_reply
454,sappelli:70124,accountable non-answer,no_reply
455,sappelli:70129,accountable non-answer,no_reply
456,sappelli:70562,accountable non-answer,no_reply
457,sappelli:70563,ignore,no_reply
458,sappelli:70564,postponed reply,needs_reply
459,sappelli:70654,accountable non-answer,no_reply
460,sappelli:71280,immediate reply,needs_reply
461,sappelli:71422,immediate reply,needs_reply
462,sappelli:73297,accountable non-answer,no_reply
463,sappelli:77400,accountable non-answer,no_reply
464,sappelli:77415,immediate reply,needs_reply
465,sappelli:77443,accountable non-answer,no_reply
466,sappelli:77485,accountable non-answer,no_reply
467,sappelli:77520,immediate reply,needs_reply
468,sappelli:77522,immediate reply,needs_reply
469,sappelli:77566,accountable non-answer,no_reply
470,sappelli:77681,immediate reply,needs_reply
471,sappelli:77694,accountable non-answer,no_reply
472,sappelli:77779,immediate reply,needs_reply
473,sappelli:77834,postponed reply,needs_reply
474,sappelli:77847,accountable non-answer,no_reply
475,sappelli:77881,accountable non-answer,no_reply
476,sappelli:77891,accountable non-answer,no_reply
477,sappelli:77930,accountable non-answer,no_reply
478,sappelli:78089,accountable non-answer,no_reply
479,sappelli:78125,accountable non-answer,no_reply
480,sappelli:78178,immediate reply,needs_reply
481,sappelli:78240,immediate reply,needs_reply
482,sappelli:78264,accountable non-answer,no_reply
483,sappelli:78280,immediate reply,needs_reply
484,sappelli:78292,postponed reply,needs_reply
485,sappelli:78334,accountable non-answer,no_reply
486,sappelli:78343,accountable non-answer,no_reply
487,sappelli:78408,accountable non-answer,no_reply
488,sappelli:8348,accountable non-answer,no_reply
489,sappelli:8356,accountable non-answer,no_reply
490,sappelli:8387,postponed reply,needs_reply
491,sappelli:8392,accountable non-answer,no_reply
492,sappelli:8544,immediate reply,needs_reply
493,sappelli:8631,postponed reply,needs_reply
494,sappelli:8702,accountable non-answer,no_reply
495,sappelli:8782,accountable non-answer,no_reply
496,sappelli:8793,immediate reply,needs_reply
497,sappelli:8803,accountable non-answer,no_reply
498,sappelli:8881,postponed reply,needs_reply
499,sappelli:8974,postponed reply,needs_reply
500,sappelli:8985,postponed reply,needs_reply
501,sappelli:9085,accountable non-answer,no_reply
502,sappelli:9160,postponed reply,needs_reply
503,sappelli:9302,immediate reply,needs_reply
504,sappelli:9330,accountable non-answer,no_reply
505,sappelli:9339,accountable non-answer,no_reply
506,sappelli:94644,accountable non-answer,no_reply
507,sappelli:9647,accountable non-answer,no_reply
